Sp_Class,u_mag,g_mag,r_mag,i_mag,z_mag,RA,Dec
DA,18.87,18.336,18.079,18.015,18.003,11.491.786,14.913.855
DA,18.87,18.336,18.079,18.015,18.003,11.491.786,14.913.855
DA,18.444,18.04,18.172,18.285,18.582,11.543.187,13.652.866
DA,18.444,18.04,18.172,18.285,18.582,11.543.187,13.652.866
DA,18.444,18.04,18.172,18.285,18.582,11.543.187,13.652.866
DA_auto,19.434,18.967,19.233,19.493,19.725,11.549.045,-128.315
DA_auto,19.651,19.315,19.562,19.737,19.983,11.668.522,670.907
DA_auto,19.867,19.434,19.451,19.528,19.709,11.695.625,-619.849
DC,18.999,19.009,19.281,19.449,19.617,11.774.303,-805.468
DC,18.999,19.009,19.281,19.449,19.617,11.774.303,-805.468
DA_auto,19.083,18.874,19.139,19.365,19.503,11.921.062,700.488
DA_auto,20.055,19.695,19.734,19.916,19.804,11.966.581,-269.805
DA_auto,19.917,19.45,19.453,19.457,19.479,12.020.137,14.025.048
DA_auto,19.917,19.45,19.453,19.457,19.479,12.020.137,14.025.048
DA_auto,19.917,19.45,19.453,19.457,19.479,12.020.137,14.025.048
DA+M,19.725,19.434,19.531,19.205,18.675,12.065.416,342.872
DA,20.47,20.108,20.288,20.627,20.886,12.080.348,16.066.249
DA,20.47,20.108,20.288,20.627,20.886,12.080.348,16.066.249
DA,20.47,20.108,20.288,20.627,20.886,12.080.348,16.066.249
DA,19.354,18.956,18.963,19.093,19.352,12.081.559,-347.085
DC:,18.264,18.101,18.232,18.376,18.535,12.126.346,298.012
DA_auto,19.472,19.277,19.514,19.723,19.821,12.208.803,-359.827
DA,19.077,18.676,18.785,18.953,19.222,12.229.869,15.363.539
DB,18.59,18.687,19.026,19.255,19.511,12.252.022,-9.700.837
DA,19.345,18.841,18.623,18.626,18.702,12.317.366,-9.773.501
DA_auto,20.583,20.124,20.059,20.017,20.131,12.387.073,886.022
DA,19.61,19.664,20.005,20.234,20.679,12.428.325,14.881.216
DA:,20.34,20.494,20.899,21.103,20.821,12.516.691,15.034.913
DA,19.089,19.468,19.854,19.967,20.036,12.549.107,13.936.839
DA_auto,18.763,18.639,18.914,19.241,19.559,12.556.366,-25.105
DA_auto,20.455,20.083,19.968,20.011,20.433,1.258.281,990.547
DA_auto,19.907,19.547,19.766,19.836,20.09,12.635.646,302.319
DA,19.099,18.798,18.91,19.072,19.426,12.698.356,-388.036
DA,19.099,18.798,18.91,19.072,19.426,12.698.356,-388.036
DA,19.099,18.798,18.91,19.072,19.426,12.698.356,-388.036
DA_auto,20.224,19.834,20.048,20.182,20.22,12.722.514,-55.227
DA,20.341,20.22,20.393,20.76,21.524,12.759.146,13.824.131
DA,19.14,18.761,18.805,18.879,19.133,12.938.961,15.640.654
DA,17.126,17.088,17.49,17.754,17.957,12.956.877,997.413
DA,18.868,18.37,18.454,18.567,18.683,12.986.873,1.014.493
DA,18.868,18.37,18.454,18.567,18.683,12.986.873,1.014.493
DA,18.868,18.37,18.454,18.567,18.683,12.986.873,1.014.493
DA+M,19.046,18.325,17.714,16.635,15.919,13.035.096,-859.638
