,t,x,y,z,Sx,Sy,Sz
6623,2,3.1052631578947367,3.421052631578947,-5.473684210526316,0.0035153495729492393,0.0038728427498593314,-0.006196548399774931
6624,2,3.1052631578947367,3.421052631578947,-4.631578947368421,0.005531806863491491,0.006094363493677066,-0.008250830576055105
6625,2,3.1052631578947367,3.421052631578947,-3.7894736842105265,0.008700734666962412,0.009585555141568758,-0.010617845695276162
6626,2,3.1052631578947367,3.421052631578947,-2.947368421052632,0.013409565651267958,0.014773250293769784,-0.012727723330017046
6627,2,3.1052631578947367,3.421052631578947,-2.105263157894737,0.019646292140994906,0.02164422015533337,-0.013319520095589768
6628,2,3.1052631578947367,3.421052631578947,-1.2631578947368425,0.026293606115376147,0.02896753216100761,-0.010695704182525892
6629,2,3.1052631578947367,3.421052631578947,-0.4210526315789478,0.030841512717740934,0.03397793773988408,-0.004181900029524199
6630,2,3.1052631578947367,3.421052631578947,0.4210526315789469,0.030841512717740934,0.03397793773988408,0.004181900029524189
6631,2,3.1052631578947367,3.421052631578947,1.2631578947368425,0.026293606115376147,0.02896753216100761,0.010695704182525892
6632,2,3.1052631578947367,3.421052631578947,2.1052631578947363,0.01964629214099492,0.02164422015533338,0.013319520095589772
6633,2,3.1052631578947367,3.421052631578947,2.94736842105263,0.013409565651267967,0.014773250293769791,0.012727723330017046
6634,2,3.1052631578947367,3.421052631578947,3.7894736842105257,0.008700734666962412,0.009585555141568758,0.01061784569527616
6635,2,3.1052631578947367,3.421052631578947,4.631578947368421,0.005531806863491488,0.006094363493677063,0.008250830576055102
6636,2,3.1052631578947367,3.421052631578947,5.473684210526315,0.0035153495729492424,0.0038728427498593344,0.006196548399774935
6637,2,3.1052631578947367,3.421052631578947,6.315789473684209,0.0022589821748518367,0.0024887091756842267,0.004594540016647802
6638,2,3.1052631578947367,3.421052631578947,7.157894736842104,0.001476903475404763,0.0016270970491747388,0.0034043876721194534
6639,2,3.1052631578947367,3.421052631578947,8.0,0.0009850515811119826,0.0010852263181742178,0.002537760005576633
6640,2,3.3421052631578947,3.421052631578947,-8.0,0.001086758259566958,0.0011124297145173585,-0.0026013741016405927
6641,2,3.3421052631578947,3.421052631578947,-7.157894736842105,0.0016168695832785459,0.001655063352962291,-0.003462901784659563
