u_mag,g_mag,r_mag,i_mag,z_mag,ra,dec
17.130.453,16.293.938,1.602.809,15.935.175,15.913.962,1.901.960.639,2.399.908.887
1.866.778,16.797.939,1.602.141,15.710.502,15.596.268,1.901.983.579,2.401.327.868
18.474.903,17.334.511,16.871.738,16.676.184,16.647.945,1.901.742.282,2.444.836.248
1.706.712,15.851.478,15.404.222,15.286.002,15.254.862,1.901.950.783,2.438.029.655
18.736.149,17.919.806,17.612.925,17.498.848,17.470.053,1.901.744.627,2.480.601.342
18.353.699,17.195.374,16.745.367,166.084,16.545.145,1.901.903.217,2.269.469.052
18.378.784,16.899.918,1.634.598,16.163.162,16.101.406,1.901.727.508,2.310.577.282
18.707.293,1.704.302,16.365.391,16.093.658,15.970.222,1.901.799.768,2.312.823.015
18.771.936,17.143.061,16.450.327,16.228.168,16.118.023,1.901.887.469,2.310.400.498
17.558.903,16.429.363,1.602.051,15.880.724,15.837.339,1.901.694.423,2.355.236.687
18.655.272,16.831.259,1.615.823,1.595.657,15.868.154,1.901.804.284,2.357.296.262
17.608.248,16.459.188,16.032.925,15.865.183,15.832.159,1.901.961.856,2.349.345.491
17.393.744,16.266.655,15.869.626,15.724.429,15.707.621,1.902.007.885,2.350.585.345
16.953.535,15.916.294,15.553.092,15.421.179,1.542.599,1.902.060.054,2.354.050.517
180.261,16.727.491,16.243.711,1.607.778,15.996.863,1.901.968.826,2.130.069.567
1.804.031,16.785.666,16.335.909,16.194.916,16.108.496,1.902.058.779,2.129.053.844
20.286.177,17.629.028,16.257.353,15.618.394,15.315.303,1.902.005.666,2.203.409.194
17.869.957,16.430.431,15.866.571,15.654.889,15.649.948,1.901.904.056,2.303.384.962
18.791.508,17.779.402,17.559.711,17.446.096,17.522.373,1.901.990.261,2.288.855.619
18.854.757,17.298.504,16.766.178,1.659.927,16.550.678,190.172.276,2.336.415.799
2.043.812,17.774.815,166.383,16.148.872,1.581.223,1.901.312.251,2.339.672.293
17.950.718,16.584.387,16.059.856,15.860.809,15.818.509,1.901.801.365,2.370.881.037
17.346.218,16.313.707,15.905.754,15.780.612,15.745.622,1.902.143.052,2.383.235.032
18.596.462,17.431.261,17.039.665,16.897.682,16.825.382,1.901.735.551,2.461.190.071
19.538.445,17.429.354,16.636.253,16.378.054,16.229.136,1.901.703.209,2.009.529.232
20.058.283,17.804.756,16.962.399,16.619.061,16.423.784,1.901.814.295,2.048.921.488
18.731.394,16.699.024,15.944.524,15.637.682,15.467.419,1.901.964.098,2.085.977.108
20.385.622,17.822.584,16.738.195,16.304.861,16.029.547,1.901.687.391,2.095.213.859
19.896.549,17.390.661,1.622.925,15.745.769,15.459.096,1.901.697.736,2.017.515.731
19.148.542,17.895.092,17.377.132,17.179.224,17.073.803,1.901.712.728,2.073.590.886
18.748.581,17.236.235,16.586.679,16.333.992,16.140.661,1.901.836.067,2.108.082.377
1.891.128,16.648.695,15.704.874,15.369.082,15.198.767,1.902.169.163,244.706.914
20.169.254,17.824.009,16.862.085,16.476.185,16.255.951,1.902.164.791,2.428.850.238
17.089.943,16.069.687,15.744.021,15.630.486,15.570.364,1.903.688.247,243.119.812
