u_mag,g_mag,r_mag,i_mag,z_mag,ra,dec
18.689.039,17.725.246,17.342.464,17.253.601,17.192.595,1.949.252.485,232.217.032
19.237.942,16.719.711,15.655.112,15.272.495,15.090.646,1.949.070.681,2.312.255.971
18.387.497,16.541.279,1.577.308,15.611.225,15.511.987,1.949.296.325,2.304.543.443
17.154.385,16.146.488,15.748.959,15.650.344,15.579.553,1.949.822.357,2.306.916.538
20.381.342,17.874.853,16.572.594,16.074.593,15.785.043,1.949.353.462,2.311.233.167
19.624.029,17.790.318,1.706.872,16.803.358,16.667.292,1.934.830.356,2.370.700.894
20.106.579,17.562.687,16.348.379,15.774.328,15.504.735,193.511.344,2.361.572.545
19.136.656,17.654.537,17.108.011,16.863.577,16.766.062,1.935.122.753,2.352.982.454
19.120.029,17.600.368,16.983.421,16.730.284,16.679.018,1.946.745.908,2.357.262.109
17.561.415,16.330.074,15.876.025,15.706.519,15.728.971,1.946.989.195,2.362.219.642
19.058.596,17.829.323,1.733.219,17.083.855,17.023.455,1.947.078.427,2.348.158.343
17.559.109,16.402.973,16.003.363,15.856.098,15.800.169,1.947.678.486,2.348.488.433
18.401.875,1.742.363,17.115.713,16.983.368,16.972.864,1.948.003.197,2.352.976.268
20.538.933,1.792.622,16.610.609,16.194.935,15.467.772,1.947.956.279,2.354.746.128
19.932.167,17.548.292,16.635.578,16.281.153,16.154.808,1.947.970.172,2.354.180.228
19.003.937,16.714.745,15.833.485,15.464.188,15.282.513,1.948.478.292,2.357.609.485
18.818.115,17.374.125,16.850.126,16.658.104,16.563.169,1.948.683.786,2.350.792.557
17.564.806,16.512.829,16.149.391,16.009.769,15.967.319,194.885.314,2.358.351.808
1.892.314,17.567.852,17.002.762,16.756.819,16.649.586,1.949.008.453,2.356.409.954
17.849.892,16.678.936,16.254.635,16.071.918,15.977.145,1.949.044.048,2.357.341.466
18.930.283,1.799.316,17.733.612,17.650.501,17.604.183,1.949.046.469,2.354.290.656
1.897.407,17.797.737,17.349.287,17.164.087,17.070.436,1.949.310.731,2.346.224.196
16.876.648,15.716.019,15.322.601,15.195.527,15.170.328,1.949.656.628,2.355.361.961
20.145.752,17.561.224,16.292.795,1.567.881,15.339.885,194.866.348,2.357.226.645
199.601,17.717.316,16.794.785,16.466.125,16.295.017,1.949.523.796,2.354.516.845
18.855.688,17.866.282,17.550.987,17.460.693,17.451.262,194.995.103,2.352.031.942
19.104.794,17.692.329,17.128.258,16.923.206,16.818.361,1.934.739.925,2.409.051.898
18.712.458,17.724.623,17.482.882,17.394.753,17.420.328,1.934.877.996,2.397.537.252
1.805.056,16.798.822,16.342.646,16.185.976,16.159.901,193.502.583,2.395.351.629
18.130.407,16.379.923,15.647.015,15.356.857,15.245.472,193.516.987,2.399.374.167
19.673.958,17.978.495,17.327.082,16.988.167,16.971.018,1.946.765.662,2.388.478.274
17.013.933,15.839.899,15.420.594,15.260.952,15.207.741,1.947.340.972,2.396.989.176
1.939.646,17.768.015,17.013.523,16.803.055,16.737.597,1.947.343.064,238.927.313
17.590.126,16.127.439,15.542.269,15.304.346,15.200.982,194.746.234,2.384.988.326
18.924.114,16.511.505,15.570.491,15.279.012,15.110.497,1.936.137.665,210.494.539
18.961.224,17.700.148,17.283.371,17.113.277,17.039.944,1.936.725.312,2.119.523.533
19.562.044,17.796.268,17.114.525,16.824.053,16.694.508,1.936.846.385,2.111.762.459
19.354.591,17.422.384,16.660.662,16.338.278,16.198.946,1.937.188.496,2.110.590.435
19.023.348,17.646.883,17.147.957,16.939.856,16.855.253,1.937.295.654,2.103.422.391
18.012.362,16.826.454,16.404.043,16.151.411,1.606.813,1.937.743.142,210.550.586
16.944.613,15.739.941,15.336.987,15.155.198,15.093.636,1.937.894.265,2.102.251.633
19.696.918,17.383.636,16.355.415,15.890.234,1.563.978,1.938.226.748,211.871.947
18.402.468,16.528.566,15.849.391,15.559.041,15.419.056,1.938.258.847,2.114.767.643
1.751.473,16.018.988,15.433.365,1.520.183,15.094.037,1.938.377.084,211.550.913
19.919.512,1.798.745,17.243.675,16.974.895,16.782.862,192.021.649,2.163.709.469
18.916.838,17.926.222,17.508.377,17.296.919,1.720.709,192.060.441,2.154.747.099
18.757.982,1.715.983,16.532.928,16.264.681,16.129.738,1.920.607.318,2.151.195.948
17.019.691,15.757.855,15.331.905,15.149.995,15.020.208,192.071.236,2.167.318.963
19.292.875,17.938.152,17.424.873,17.146.551,16.996.628,1.920.811.992,2.161.697.279
16.971.945,15.987.736,1.569.958,15.535.504,1.546.736,192.097.429,2.166.703.496
17.101.824,16.065.308,15.716.197,15.576.332,15.536.367,192.108.376,2.158.427.872
18.749.851,17.560.528,17.121.996,16.967.283,16.891.142,1.921.173.613,2.158.335.441
17.600.309,16.156.519,15.672.839,15.432.041,15.323.792,1.935.737.015,2.161.121.097
19.130.705,17.694.838,17.284.187,17.101.789,17.064.901,193.576.163,2.156.495.144
18.260.065,17.104.387,16.659.391,1.649.448,1.641.659,1.936.238.223,216.145.253
18.285.372,16.742.298,16.193.346,1.603.278,15.958.421,1.936.686.539,2.152.565.872
19.366.434,17.993.965,17.586.424,17.476.492,17.419.548,1.936.754.453,2.151.905.606
19.285.648,16.731.726,15.630.679,1.522.655,15.024.305,1.936.783.441,2.145.796.798
20.608.356,17.871.925,16.564.512,15.946.872,15.629.173,1.935.997.374,2.155.461.528
20.022.219,17.304.556,16.090.565,15.644.553,15.446.939,1.935.990.803,2.148.678.419
17.056.587,15.757.087,15.231.411,15.089.592,15.045.171,1.936.936.747,2.145.592.669
18.935.974,17.488.205,16.890.772,16.679.253,16.583.656,1.937.024.433,2.149.948.809
18.879.908,17.922.577,17.594.578,17.494.072,17.493.179,1.937.679.142,2.152.233.684
17.674.984,16.656.214,16.469.891,16.429.495,16.429.827,1.937.934.162,2.147.420.062
18.775.953,1.765.563,17.317.085,17.159.782,17.118.111,1.938.105.556,2.149.979.969
19.426.411,17.749.273,17.015.942,16.734.873,16.497.574,1.937.026.941,2.155.004.412
19.799.557,1.708.868,15.801.493,1.529.633,15.031.665,1.937.233.715,2.159.366.322
19.499.929,17.530.268,1.671.525,1.638.089,16.198.702,1.937.344.181,2.145.723.338
19.665.949,17.934.168,17.283.663,17.044.176,16.934.689,1.937.435.186,2.158.614.539
19.820.038,17.403.786,16.390.829,16.025.261,15.853.395,1.920.170.316,2.196.310.662
17.862.314,16.622.734,16.182.283,16.004.263,15.936.498,1.920.290.682,2.198.576.814
18.818.499,17.350.592,16.777.534,16.494.505,16.351.603,1.920.394.563,2.208.936.363
18.039.633,16.876.879,16.483.311,1.632.304,16.261.681,1.920.596.171,2.208.380.911
18.228.609,17.105.242,16.630.388,16.514.828,16.500.103,1.920.620.888,2.192.942.607
19.449.905,17.815.752,17.197.664,17.005.133,16.856.426,1.935.261.835,2.202.409.428
17.001.572,15.927.137,15.546.443,15.426.196,15.371.874,1.935.286.003,2.201.404.469
1.979.837,17.762.058,16.947.279,16.694.536,16.510.036,193.528.198,219.052.363
18.062.647,16.622.978,16.073.744,15.932.313,15.739.332,193.545.672,2.187.505.418
16.922.251,15.700.908,1.528.556,15.249.087,15.132.444,1.935.475.294,2.186.065.167
18.942.696,17.917.337,17.445.822,17.273.083,1.718.189,19.358.346,2.203.211.483
16.708.736,15.651.372,15.283.659,15.144.436,15.119.645,1.936.058.543,2.192.748.542
1.748.123,16.203.533,15.958.671,15.902.275,15.880.339,1.936.136.196,2.191.415.678
18.808.708,17.561.447,17.013.311,16.807.095,1.673.698,1.936.470.414,219.984.415
18.206.627,16.341.877,15.574.933,15.432.946,15.287.582,1.936.573.832,2.188.082.251
1.844.767,1.739.356,17.067.127,16.902.048,16.890.863,1.937.075.925,2.201.084.798
20.559.673,17.965.895,16.664.616,16.078.022,15.735.031,1.935.599.935,2.196.817.736
19.627.279,17.831.511,17.207.279,16.962.738,16.851.561,1.937.057.731,2.190.716.932
18.050.211,16.870.493,16.453.949,16.275.221,16.253.206,1.937.366.559,2.201.884.579
19.155.704,17.585.344,16.974.924,16.746.117,16.669.346,1.937.482.698,2.200.650.249
1.772.682,1.646.122,16.015.747,15.887.717,15.852.669,1.937.952.603,2.186.657.033
16.929.039,15.660.455,15.217.243,15.073.365,1.506.931,1.938.076.861,2.196.227.406
17.531.105,16.307.663,15.940.038,15.792.358,15.748.555,1.938.283.033,2.200.134.618
1.841.571,1.669.323,16.029.551,15.779.098,15.676.756,1.919.864.002,2.249.370.219
1.867.054,17.495.668,17.089.542,16.883.846,16.845.444,1.920.103.452,2.236.551.766
16.454.958,15.440.315,15.215.592,15.087.631,15.059.781,1.920.299.513,223.786.754
19.157.846,17.969.942,17.586.329,17.424.181,17.362.232,1.920.351.526,224.658.758
18.405.293,16.567.116,15.895.924,15.637.092,15.519.262,1.920.415.874,224.558.593
19.470.676,17.320.654,16.496.328,16.191.771,16.023.947,1.920.478.848,2.247.128.059
18.506.464,17.489.504,17.175.776,16.984.577,16.940.538,1.920.876.715,2.239.779.294
19.377.186,17.124.908,16.191.408,15.888.436,1.556.337,1.920.958.359,2.254.092.792
17.824.472,16.588.005,16.174.898,16.065.367,15.876.274,1.921.175.351,2.252.813.744
185.818,17.446.602,17.091.805,16.851.652,16.775.087,1.921.245.311,2.239.551.646
18.571.453,1.651.054,15.665.085,15.445.251,15.271.223,1.935.311.277,2.244.652.964
17.671.494,16.300.917,15.789.506,1.567.482,1.557.263,1.935.373.138,2.244.634.806
20.405.045,17.917.667,16.848.551,1.648.708,16.217.087,1.935.727.924,224.738.086
16.874.994,15.945.557,1.570.354,15.584.943,15.520.233,1.935.836.274,2.245.392.797
17.638.863,16.602.854,16.294.491,16.148.857,16.139.278,1.936.068.749,2.235.082.384
17.609.938,16.474.817,16.113.094,15.979.893,16.008.011,1.936.274.548,224.249.174
17.231.985,15.966.637,15.486.624,15.341.586,15.310.645,1.936.861.976,2.227.597.684
18.714.193,17.446.024,16.989.004,16.860.332,16.829.081,193.693.014,2.230.687.403
18.070.847,16.194.395,15.492.192,15.279.465,15.162.744,1.937.082.664,223.380.345
17.629.978,16.563.456,16.111.752,15.894.533,15.775.492,1.943.687.723,2.110.225.724
18.213.863,171.402,16.760.475,16.593.224,16.565.523,1.943.673.344,2.101.944.067
18.512.274,17.047.497,16.450.485,16.192.326,16.068.766,1.943.966.049,2.114.057.312
18.614.389,17.232.418,16.662.598,16.463.465,16.378.408,194.422.464,210.370.373
19.533.085,17.859.993,17.143.599,16.796.227,16.653.786,1.943.817.733,2.115.889.374
1.925.753,17.685.616,17.035.009,16.768.465,16.685.703,194.461.534,2.103.245.661
19.280.334,17.240.383,16.442.944,16.053.379,15.878.325,1.944.837.251,2.115.282.991
18.462.847,17.050.196,16.426.666,16.128.376,16.042.244,1.944.826.994,210.703.929
18.497.475,17.315.741,16.848.551,16.686.457,16.584.326,1.946.078.803,2.100.168.738
196.374,1.750.477,16.591.074,16.166.687,15.975.536,1.944.713.134,2.109.944.801
19.872.076,17.278.746,16.158.115,1.570.179,15.494.577,1.946.316.792,2.107.196.199
20.240.311,17.714.056,16.458.044,15.863.711,15.517.504,1.946.376.619,2.108.025.667
17.444.483,16.332.649,15.941.964,15.831.417,15.800.943,1.926.937.699,2.149.423.067
18.441.105,16.364.454,15.499.805,15.221.763,15.062.215,1.926.983.821,2.150.609.667
17.927.608,16.574.764,15.970.917,15.707.043,15.601.924,1.927.126.752,2.158.209.661
17.703.007,16.260.075,15.786.107,15.595.063,15.534.015,1.927.269.584,2.155.471.827
18.139.277,16.939.507,16.575.064,16.397.663,1.636.186,1.927.459.066,2.153.719.254
19.753.922,17.293.612,16.118.416,15.742.715,15.478.498,1.927.807.039,2.166.932.228
18.539.003,1.702.611,1.644.932,16.206.074,1.611.038,1.928.078.223,2.155.742.479
18.937.799,17.134.167,16.346.594,16.074.629,15.938.044,192.805.785,2.150.703.097
17.924.828,16.867.579,1.645.752,16.105.947,16.210.545,1.928.255.959,2.162.238.757
18.697.914,16.802.145,15.995.527,15.687.696,15.551.927,1.928.238.171,2.154.524.067
19.784.618,17.511.585,16.560.728,16.204.477,16.025.314,1.928.313.308,216.174.931
19.785.225,17.706.331,16.828.093,16.503.885,16.323.475,1.928.368.083,216.088.678
19.176.418,17.612.606,16.922.955,16.707.125,16.622.404,1.928.353.979,2.150.206.109
19.123.215,17.417.353,16.690.849,16.428.812,16.322.275,1.928.417.035,2.154.259.525
20.575.012,17.962.952,16.775.339,16.317.495,16.039.204,1.927.750.024,2.163.737.262
20.438.515,17.805.138,16.512.318,15.974.851,15.672.336,1.927.705.564,2.152.422.852
18.852.018,17.506.672,16.980.974,16.751.595,16.654.184,1.943.641.308,2.151.635.541
18.099.546,16.757.832,16.270.369,16.067.722,16.015.354,1.943.727.496,2.156.354.441
16.890.902,15.701.623,15.300.484,15.126.631,15.100.029,1.943.673.943,2.141.653.198
19.077.417,17.796.324,17.386.684,17.234.617,17.216.179,1.944.375.629,2.145.304.875
1.712.344,16.058.929,1.572.626,15.503.854,15.541.552,1.944.586.383,2.153.512.235
20.352.034,17.719.641,16.450.068,15.884.345,15.596.764,194.363.577,215.074.187
17.750.988,16.594.185,16.246.655,16.075.623,1.606.188,1.945.097.778,2.155.965.064
17.328.463,1.594.058,15.395.235,15.159.534,15.092.503,1.945.082.769,2.143.366.735
1.873.152,17.046.545,163.853,16.142.719,15.994.872,1.945.628.406,2.138.891.533
18.560.408,17.283.876,16.826.044,16.702.097,16.646.751,1.945.786.732,2.141.256.666
17.973.436,1.635.437,15.710.105,15.520.361,15.412.226,1.945.924.904,2.140.134.176
18.059.984,17.087.734,16.708.582,16.582.567,16.537.058,1.946.270.317,2.141.397.913
18.028.875,17.150.042,16.904.968,16.769.007,16.769.045,1.946.542.738,2.140.303.484
18.815.149,17.672.583,17.261.618,17.147.812,17.085.743,1.926.876.736,2.210.111.439
18.215.771,17.233.032,16.954.536,16.878.937,16.866.051,1.926.863.003,21.901.027
17.744.564,16.575.825,16.141.392,15.952.745,15.926.394,1.927.258.327,2.200.959.939
20.547.432,17.966.644,167.097,16.117.416,15.848.866,1.927.320.185,2.195.290.703
19.153.219,17.912.897,1.746.553,17.305.914,17.221.811,1.927.634.871,2.208.978.552
19.067.497,17.108.889,16.331.741,16.003.191,15.860.237,1.927.586.172,2.196.587.402
17.311.739,15.965.282,15.480.342,1.526.275,15.185.076,1.927.770.132,2.202.985.923
1.867.635,17.441.654,1.694.677,16.732.464,16.608.469,1.927.704.606,2.190.467.536
19.092.026,17.897.209,17.379.248,17.189.808,17.137.484,1.927.931.784,2.197.736.725
16.985.115,15.811.275,15.396.625,15.277.465,15.274.403,1.928.031.099,2.199.648.349
18.959.141,17.842.003,17.437.729,17.337.027,17.264.801,1.928.224.157,2.206.029.474
17.857.433,16.926.687,166.127,16.520.119,16.488.642,1.928.167.127,2.193.068.781
19.104.534,16.675.331,15.630.749,15.241.261,15.030.876,1.928.332.155,2.206.827.405
19.727.301,17.529.331,16.581.831,1.621.887,16.008.751,1.928.608.521,2.191.494.139
18.812.799,17.871.723,17.609.058,17.517.366,17.499.874,1.928.742.515,219.241.892
18.189.819,17.092.926,16.723.139,16.547.508,16.549.255,1.929.085.232,2.204.805.442
20.169.931,1.768.195,16.438.074,16.007.391,15.763.627,1.928.384.519,2.197.764.051
20.157.177,17.684.698,16.597.282,16.191.381,16.017.677,1.928.952.603,2.192.862.867
18.487.333,17.569.553,1.727.136,17.114.239,17.101.692,1.929.022.802,219.095.493
19.264.637,17.840.605,17.283.779,17.037.472,1.695.454,1.929.078.127,2.200.891.342
19.843.132,17.578.642,1.657.235,1.613.028,15.947.975,1.929.075.361,219.413.381
17.894.419,16.802.219,16.373.962,16.216.467,16.167.593,1.929.425.129,2.196.561.044
18.232.897,16.885.736,16.343.483,16.150.517,16.078.886,1.929.497.386,2.197.583.132
17.138.203,1.608.942,15.581.626,15.447.974,15.403.737,1.930.085.623,2.192.066.338
18.006.653,16.446.823,15.878.058,15.648.932,15.524.384,1.943.527.046,2.186.411.552
20.289.787,17.749.527,1.643.936,15.730.886,15.321.726,194.345.968,2.188.785.156
17.272.282,16.092.255,15.610.447,15.425.258,15.371.051,1.943.693.868,2.182.840.113
18.519.123,16.908.104,16.294.615,16.063.816,15.936.993,194.389.923,2.190.241.294
17.291.828,16.125.532,15.673.165,1.550.021,15.425.746,1.944.244.051,2.192.835.219
18.809.937,17.907.162,17.543.348,17.420.424,17.396.147,1.944.314.427,2.197.700.227
19.215.494,17.761.953,17.181.282,16.955.132,16.830.685,1.944.406.092,218.824.725
18.222.502,1.701.193,16.562.658,16.432.398,16.388.811,1.944.693.304,2.194.015.526
19.034.407,17.808.678,17.405.863,17.260.626,17.224.119,1.945.042.426,2.183.706.141
18.789.989,17.384.838,1.687.904,16.686.972,16.594.921,1.924.038.462,2.272.951.317
17.363.396,16.092.421,15.674.946,15.539.295,15.497.615,1.924.271.971,2.257.630.168
19.229.183,17.332.458,16.538.351,16.265.419,16.087.368,1.924.560.804,2.268.828.674
2.034.041,17.728.836,16.527.397,16.086.496,15.857.907,1.925.652.695,2.272.179.467
18.987.911,17.193.083,1.652.599,16.325.029,16.180.452,1.940.227.817,2.258.642.379
18.314.278,17.164.909,16.742.483,16.629.026,16.558.872,1.940.475.513,2.260.683.823
18.215.277,16.988.806,16.582.388,16.422.527,16.347.151,1.940.593.996,2.252.652.037
1.806.749,1.716.818,1.693.037,16.801.735,16.856.247,1.941.161.201,225.500.959
18.680.279,17.743.057,17.455.969,17.291.836,17.282.692,1.941.580.744,2.247.608.954
1.928.314,17.799.778,17.199.547,16.940.275,16.892.984,1.941.655.802,2.257.464.245
18.358.345,17.346.306,1.696.608,16.771.877,16.703.531,1.941.782.696,2.265.400.474
17.006.771,15.781.914,15.348.943,1.516.475,1.510.958,1.942.048.866,2.260.886.371
19.088.392,17.992.371,17.617.651,17.474.817,1.742.717,1.924.055.297,2.296.739.234
18.336.971,1.643.688,15.645.618,15.356.671,15.258.249,1.924.192.507,2.305.768.109
18.876.095,17.930.616,1.754.616,17.374.088,17.318.056,1.924.284.738,2.314.926.895
17.009.947,15.878.671,15.490.412,15.373.792,15.329.448,1.924.703.519,2.301.731.396
20.199.936,17.746.344,16.579.525,16.155.375,15.940.255,1.924.804.184,2.305.631.553
18.761.473,1.772.555,17.285.797,17.150.839,17.087.267,192.547.192,2.312.458.889
17.348.286,15.863.451,1.526.744,15.112.199,15.038.471,1.925.662.465,2.316.243.136
18.658.852,16.744.871,15.995.942,15.751.333,15.628.418,192.591.886,2.315.993.717
1.958.955,17.661.026,16.915.627,16.643.469,16.483.713,1.940.252.477,2.297.537.489
19.042.978,177.827,1.728.121,17.118.925,16.989.557,1.940.325.749,2.306.720.148
18.452.291,17.109.356,16.619.907,1.649.674,16.395.199,1.940.412.736,229.002.647
19.280.434,17.885.216,17.408.674,17.292.696,17.205.772,1.940.580.591,2.306.291.105
20.091.393,17.899.588,1.695.138,16.657.486,16.485.842,1.940.713.033,2.299.082.831
19.005.152,1.735.866,16.770.521,16.566.406,16.404.392,1.940.802.877,2.290.205.131
17.437.235,16.338.673,15.894.718,15.743.237,15.672.626,194.088.233,2.301.828.581
18.502.886,17.331.715,16.909.719,16.720.921,16.711.819,1.941.169.802,2.297.966.666
19.544.062,17.352.833,16.381.929,15.989.558,15.848.665,1.941.600.285,2.299.955.678
19.461.346,17.851.133,17.174.164,16.915.321,16.767.202,1.941.769.218,2.307.776.362
18.510.969,1.770.854,17.350.286,17.191.168,17.157.429,1.942.001.798,2.306.744.547
20.458.496,17.318.289,15.940.713,15.409.209,1.507.999,1.940.661.772,2.293.431.505
18.905.478,17.055.134,16.325.302,16.032.761,15.915.439,1.924.515.494,2.347.439.359
17.417.923,16.359.537,1.600.211,15.839.284,15.816.967,1.924.654.715,2.355.723.629
19.214.531,17.177.814,16.399.097,16.105.528,1.594.451,192.490.299,2.343.923.146
19.666.182,17.816.916,1.708.868,16.825.666,16.700.106,1.924.948.713,2.345.428.581
20.179.903,17.686.342,16.245.739,15.460.201,1.505.627,1.925.130.887,2.352.381.546
19.927.826,17.459.459,16.325.357,15.909.526,1.568.644,1.925.509.156,2.346.263.574
17.459.393,16.082.747,15.618.147,15.475.468,15.393.888,1.925.540.874,234.022.018
1.971.698,17.147.547,15.944.488,15.538.462,15.310.774,1.925.664.795,235.544.572
18.948.866,16.695.433,15.698.082,15.362.616,15.181.108,1.925.609.695,2.343.362.626
17.855.433,16.977.901,16.676.167,16.624.977,16.569.355,1.940.177.989,2.343.716.245
18.258.204,16.850.882,16.272.844,16.091.824,15.980.108,1.940.350.468,2.344.322.943
18.440.119,17.525.211,17.235.712,17.183.901,17.140.358,1.940.378.863,2.341.750.821
18.627.382,17.515.064,17.248.022,17.161.669,17.080.025,1.940.468.333,2.347.137.062
19.141.417,1.740.132,16.763.885,16.578.192,16.470.428,1.940.562.584,2.336.206.992
17.348,16.374.353,16.084.764,15.986.382,15.933.161,1.940.753.781,2.346.016.039
17.964.897,16.156.336,1.548.862,15.263.116,15.141.088,1.940.942.308,2.336.181.949
17.563.892,16.461.798,16.074.141,15.964.477,15.909.904,1.941.025.289,2.342.658.864
19.114.504,17.858.381,17.371.872,17.188.732,17.106.699,1.941.228.991,2.343.192.114
17.679.302,16.383.924,15.817.587,1.558.579,1.547.514,1.941.158.037,2.336.949.251
18.857.216,17.779.623,17.378.624,17.259.827,17.209.801,1.941.290.414,2.332.795.318
19.016.479,1.785.198,17.349.771,17.148.062,17.057.817,1.942.035.599,2.338.203.483
19.845.751,17.231.352,16.088.858,1.564.125,15.448.139,1.941.534.633,2.344.325.184
19.517.523,17.656.675,16.925.417,16.651.421,1.650.934,1.942.398.788,2.335.900.021
18.685.595,17.725.599,17.441.017,17.356.691,17.346.947,1.923.842.688,2.111.551.202
16.943.705,15.989.131,15.677.582,15.560.489,15.554.744,1.923.917.249,2.111.943.234
18.334.545,1.703.159,16.567.425,16.373.959,16.339.325,1.924.055.488,2.111.986.718
17.032.011,15.777.052,15.335.877,15.148.716,1.513.445,1.924.273.319,2.115.957.984
17.929.134,1.678.047,1.620.734,16.045.673,15.927.951,1.925.409.132,2.125.256.436
20.619.999,17.957.558,16.750.019,16.210.451,15.901.139,1.924.571.336,2.124.613.869
18.999.361,17.513.176,16.843.824,16.596.842,16.444.479,1.925.384.283,2.115.777.345
18.257.774,1.708.885,16.701.708,16.543.785,1.646.697,1.925.821.816,2.127.063.815
18.356.026,1.631.078,15.482.666,15.156.641,15.011.314,1.925.904.159,2.113.619.617
18.287.613,167.623,16.047.464,15.803.799,15.683.298,194.044.449,2.104.492.388
19.093.649,17.288.225,16.427.511,16.113.459,15.918.675,1.940.805.755,21.087.757
2.056.064,17.958.298,16.579.283,159.221,15.529.711,1.940.224.052,2.116.669.184
18.649.601,17.637.251,1.723.494,17.056.101,16.999.685,194.198.082,2.106.646.839
17.177.019,15.982.051,15.478.481,15.271.203,15.211.222,1.942.257.553,2.101.939.319
18.718.843,17.562.168,16.996.712,16.784.506,16.666.676,1.923.792.815,2.161.335.244
19.270.891,17.550.285,16.867.544,16.675.564,16.534.216,1.923.869.167,2.153.457.109
19.431.093,16.851.334,15.666.069,15.249.424,1.502.387,1.924.137.394,2.160.631.454
18.707.802,17.750.795,17.499.052,17.323.685,17.321.819,1.924.269.324,2.150.478.564
18.594.995,17.607.645,1.732.728,17.187.204,17.191.347,19.246.211,2.156.497.227
19.492.327,17.775.475,16.953.281,166.577,16.476.097,1.925.140.944,2.158.467.938
19.327.608,17.688.288,17.034.813,16.776.781,16.679.424,192.537.104,2.168.162.263
19.409.752,17.883.974,17.302.441,17.091.196,17.004.519,1.925.404.873,2.150.870.929
19.676.632,17.163.359,15.953.225,15.519.343,15.229.775,1.944.731.858,2.196.310.476
18.787.691,1.655.349,1.563.082,15.345.609,1.512.553,1.945.312.282,2.181.479.278
18.994.627,17.968.586,17.703.901,17.540.398,17.489.521,1.945.604.488,2.188.332.016
18.887.974,16.918.901,16.186.998,15.831.027,15.697.812,1.945.795.708,2.191.058.946
18.974.884,17.999.781,17.631.311,17.476.053,17.403.929,1.946.027.632,2.193.284.425
18.261.827,17.293.695,16.914.543,16.807.022,16.822.189,1.946.237.484,2.179.501.241
17.976.341,17.048.368,16.738.308,16.623.751,16.662.422,1.946.359.725,2.181.500.683
1.914.765,17.780.649,17.223.026,17.041.744,1.691.955,1.946.697.858,2.198.357.918
18.573.795,17.665.359,17.318.335,17.186.808,17.159.311,1.946.701.647,2.186.898.264
19.598.871,1.782.317,17.147.203,16.784.563,16.637.114,1.945.236.446,2.190.271.531
17.921.366,16.631.433,16.138.914,15.980.116,15.897.223,1.927.209.174,2.240.431.493
20.154.068,17.652.166,16.502.277,16.043.411,15.738.382,1.927.395.289,2.251.459.185
19.049.068,17.400.337,16.742.895,1.644.364,16.270.773,1.927.973.664,2.244.457.096
19.358.702,17.680.601,16.981.157,16.737.976,16.600.952,1.928.159.899,2.234.682.042
1.987.365,17.991.068,17.281.603,17.048.325,16.936.033,1.928.278.005,2.240.247.978
17.602.562,16.264.162,15.706.538,15.508.552,1.535.273,1.928.352.866,2.247.259.605
1.941.041,16.995.907,15.832.406,15.366.233,15.114.565,1.928.353.822,2.236.173.138
17.600.592,16.044.878,15.504.359,15.326.424,15.303.003,1.928.657.987,2.235.685.822
19.144.382,17.851.137,17.335.756,17.147.121,17.110.584,1.928.719.765,223.674.893
18.391.665,16.832.962,16.269.848,16.028.473,15.961.614,1.929.321.889,2.244.007.635
19.479.879,17.626.278,16.909.559,16.586.021,16.535.494,1.929.401.609,2.235.785.057
1.866.184,17.558.184,17.063.107,1.681.056,167.645,1.929.603.121,2.234.296.578
18.944.689,17.762.728,17.211.491,16.967.203,16.949.026,1.929.609.211,223.452.473
18.774.944,17.902.729,17.423.365,17.297.476,17.242.443,1.929.827.053,2.248.401.763
18.621.426,174.995,17.093.515,16.959.877,16.951.809,1.930.156.247,2.242.603.219
18.664.463,17.428.003,17.065.222,16.839.266,16.790.255,194.366.077,2.227.290.895
1.981.271,1.734.952,16.426.079,160.303,15.867.853,1.943.668.386,2.235.265.761
17.353.779,16.472.252,16.261.635,16.173.607,16.154.701,1.944.028.064,2.230.355.604
18.838.104,16.781.548,15.946.628,155.991,15.397.485,1.944.076.751,2.227.176.276
17.004.705,15.717.334,15.328.489,15.150.949,15.108.794,1.944.325.423,2.241.534.092
17.363.718,16.284.904,15.939.773,15.774.183,15.782.439,1.944.451.138,2.235.039.487
17.177.982,15.875.769,15.413.548,15.304.735,15.231.649,1.944.713.721,2.222.469.837
17.215.509,15.823.722,15.376.775,15.240.554,15.212.683,1.945.003.923,2.232.087.093
17.503.662,16.072.643,15.558.661,15.383.619,15.331.067,1.945.154.721,223.612.209
19.044.031,17.290.073,16.605.997,16.377.253,16.281.982,1.945.331.571,2.233.860.425
18.630.733,17.271.673,16.754.454,16.520.935,16.420.448,1.946.106.199,222.654.709
17.754.154,16.282.795,157.533,15.571.651,1.548.343,1.946.287.308,2.235.840.215
17.724.731,15.996.352,15.386.811,15.199.257,15.099.116,1.946.359.375,2.230.606.733
19.380.455,1.689.426,16.026.312,15.736.701,15.510.738,194.582.547,2.242.258.632
18.055.859,16.630.072,16.122.913,1.594.558,1.588.755,192.691.559,2.279.103.336
20.129.505,17.633.808,16.303.997,15.755.885,15.430.241,1.927.156.924,2.279.193.137
17.568.357,16.365.557,15.909.268,15.784.617,15.727.009,1.927.410.165,22.799.708
1.792.552,16.400.818,1.586.486,15.664.973,15.614.528,1.928.391.885,2.289.614.531
17.982.534,16.521.133,15.995.485,15.750.027,15.689.529,1.928.635.373,229.221.522
19.761.683,17.220.552,16.057.405,15.625.308,15.385.004,1.928.642.359,2.283.846.391
